偵測站,上游交流道名稱,下游交流道名稱,上游交流道里程,下游交流道里程,所在里程數
01F0005S,基隆端,基隆,0,1.093,0.5
01F0017S,基隆,八堵,1.093,2.25,1.7
01F0029S,八堵,大華系統,2.25,5.085,2.9
01F0061S,大華系統,五堵,5.085,6.84,6.1
01F0099S,五堵,汐止,6.84,10.516,9.9
01F0147S,汐止系統,東湖,11.38,15.051,14.7
01F0155S,東湖,內湖,15.051,17.125,15.5
01F0182S,內湖,圓山,17.125,23.044,18.2
01F0248S,圓山,台北,23.044,25.125,24.8
01F0264S,台北,三重,25.125,27.122,26.4
01F0293S,三重,五股,27.122,33.039,29.3
01F0339S,五股,高公局,33.039,34.4,33.9
01F0376S,高公局,林口(文化一路),34.4,40.854,37.6
01F0413S,林口(文化一路),林口(文化北路),40.854,42.213,41.3
01F0467S,林口(文化北路),桃園,42.213,49.033,46.7
01F0509S,桃園,機場系統,49.033,52.237,50.9
01F0532S,機場系統,中壢服務區,52.237,55.115,53.2
01F0557S,中壢服務區,內壢,55.115,57.321,56.2
01F0578S,內壢,中壢,57.321,62.424,57.8
01F0633S,中壢,平鎮系統,62.424,64.988,63.3
01F0664S,平鎮系統,幼獅,64.988,67.281,66.4
01F0681S,幼獅,楊梅,67.281,69.136,68.1
01F0750S,楊梅,湖口,69.136,83.758,75
01F0880S,湖口,竹北,83.758,91.023,88
01F0928S,竹北,新竹(公道五路),91.023,94.056,92.8
01F0950S,新竹(公道五路),新竹(園區二路),94.056,96.572,95
01F0980S,新竹(園區二路),新竹系統,96.572,99.38,98
01F1045S,新竹系統,頭份,99.38,110.35,104.5
01F1123S,頭份,頭屋,110.35,125.45,112.3
01F1292S,頭屋,苗栗,125.45,132.8,129.2
01F1389S,苗栗,銅鑼,132.8,140.1,138.9
01F1465S,銅鑼,三義,140.1,150.148,146.5
01F1572S,三義,后里,150.148,160.65,157.2
01F1621S,后里,台中系統,160.8,165.52,162.1
01F1664S,台中系統,豐原,165.52,168.05,166.4
01F1725S,豐原,大雅,168.05,174.234,172.5
01F1774S,大雅,台中,174.234,178.622,177.4
01F1802S,台中,南屯,178.622,181.428,180.2
01F1839S,南屯,王田,181.428,189.629,183.9
01F1906S,王田,彰化系統,189.629,192.74,190.6
01F1960S,彰化系統,彰化,192.74,198.307,196
01F2011S,彰化,埔鹽系統,198.496,207.628,201.1
